Date,Open,High,Low,Close,Volume
20211221,1580,1623,1561,1583,177439318
20211222,1609,1674,1601,1674,368859721
20211225,1690,1720,1617,1622,271922886
20211226,1625,1662,1600,1657,229901013
20211227,1660,1715,1657,1690,501746279
20211228,1680,1750,1665,1716,338559290
20211229,1716,1758,1677,1681,276142339
20220101,1680,1689,1626,1626,228903227
20220102,1627,1673,1615,1650,129985528
20220103,1643,1687,1617,1620,134909197
20220104,1620,1640,1570,1598,152119738
20220105,1600,1643,1580,1596,140376319
20220108,1610,1687,1610,1664,441362031
20220109,1678,1710,1622,1650,296476063
20220110,1664,1748,1622,1732,456677780
20220111,1740,1775,1671,1693,365951828
20220112,1699,1742,1674,1682,194284630
20220115,1699,1699,1615,1625,270923701
20220116,1624,1655,1575,1638,157841693
20220117,1650,1690,1611,1625,221654898
20220118,1620,1639,1571,1571,230409293
20220119,1574,1617,1545,1582,147009186
20220122,1600,1613,1511,1528,170257245
20220123,1515,1550,1480,1515,217886000
20220124,1530,1557,1485,1501,182514152
20220125,1530,1535,1444,1472,343050154
20220126,1502,1530,1458,1519,311965029
20220129,1539,1577,1522,1577,262452761
20220130,1598,1611,1535,1550,293543421
20220131,1532,1648,1520,1648,438752936
20220201,1696,1696,1656,1676,1304312616
20220202,1669,1743,1652,1696,606599290
20220205,1737,1786,1690,1698,470995715
20220206,1698,1708,1647,1647,217217409
20220207,1600,1699,1578,1601,452245118
20220208,1613,1686,1613,1650,333023096
20220209,1659,1732,1633,1689,327668974
20220212,1680,1710,1616,1620,292848861
20220213,1620,1639,1595,1598,174661594
20220214,1610,1648,1595,1616,163319716
20220216,1630,1640,1587,1590,171114077
20220219,1630,1675,1610,1632,207717768
20220220,1637,1672,1620,1670,161785559
20220221,1680,1728,1660,1728,638572079
20220222,1731,1747,1676,1685,322425889
20220223,1690,1760,1680,1728,279772970
20220226,1680,1695,1645,1645,361271663
20220227,1620,1671,1611,1650,164078838
20220228,1650,1675,1634,1650,164135123
20220302,1659,1659,1574,1594,202690798
20220305,1655,1683,1630,1683,371892577
20220306,1703,1734,1660,1702,305716050
20220307,1698,1722,1641,1645,303612258
20220308,1630,1665,1615,1620,180093254
20220309,1640,1712,1636,1707,363777989
20220312,1603,1624,1603,1603,446721723
20220313,1580,1620,1569,1599,297442995
20220314,1599,1620,1575,1577,138071114
20220315,1610,1671,1592,1650,512028815
20220316,1739,1739,1739,1739,238624446
20220319,1825,1825,1825,1825,153738571
20220326,1916,1916,1881,1888,1829062034
20220327,1891,2008,1890,2008,1346524115
20220328,2009,2085,2009,2085,1254771930
20220329,2122,2140,1992,2019,1296728364
20220330,2020,2153,2007,2153,977683015
20220403,2190,2207,2172,2207,751178980
20220404,2270,2316,2208,2238,1782939892
20220405,2249,2391,2233,2391,1070158778
20220406,2400,2421,2231,2264,1704441299
20220409,2247,2350,2210,2251,967967730
20220410,2280,2390,2262,2280,1020095412
20220411,2301,2320,2229,2247,705483513
20220412,2220,2220,2159,2159,125951669
20220413,2085,2166,2062,2138,653493562
20220416,2155,2199,2090,2106,473796983
