Date,Time,Open,High,Low,Close,Volume
20030527,0,5500,5503,5500,5503,3427
20030528,0,5602,5695,5600,5695,5278
20030531,0,5695,5700,5694,5694,6665
20030601,0,5695,5696,5692,5696,11005
20030602,0,5696,5696,5696,5696,4327
20030603,0,5696,5700,5695,5696,10174
20030607,0,5698,5698,5698,5698,522
20030608,0,5698,5700,5698,5700,4081
20030609,0,5696,5700,5689,5689,9518
20030610,0,5511,5688,5511,5550,1200
20030611,0,5600,5690,5600,5690,15000
20030614,0,5687,5687,5683,5683,362
20030615,0,5511,5664,5511,5511,7354
20030616,0,5520,5520,5500,5500,6138
20030617,0,5501,5501,5500,5500,8499
20030618,0,5501,5505,5501,5505,4013
20030621,0,5510,5511,5505,5511,5282
20030622,0,5511,5520,5511,5518,3313
20030623,0,5518,5518,5510,5510,20963
20030624,0,5508,5510,5508,5510,9590
20030625,0,5509,5509,5509,5509,476
20030628,0,5499,5500,5499,5500,1496
20030629,0,5498,5500,5498,5500,10807
20030630,0,5510,5517,5510,5517,13829
20030701,0,5690,5700,5650,5700,20061
20030702,0,5800,5800,5800,5800,5538
20030705,0,5800,5800,5700,5700,6821
20030706,0,5700,5701,5700,5701,35780
20030707,0,5799,5806,5799,5806,3342
20030811,0,2300,3500,2300,3500,9412
20030812,0,3500,3500,3500,3500,20163
20030813,0,3500,3500,3500,3500,1546
20030816,0,3500,3500,3500,3500,1436
20030817,0,3500,3500,3500,3500,1557
20030818,0,3500,3500,3500,3500,1955
20030819,0,3500,3500,3500,3500,1326
20030820,0,3675,3675,3500,3500,8068
20030823,0,3675,3675,3500,3500,442
20030824,0,3675,3675,3500,3500,1152
20030825,0,3675,3675,3500,3500,2100
20030826,0,3675,3675,3500,3500,1556
20030827,0,3675,3675,3675,3675,52457
20030830,0,3858,3858,3675,3675,2432
20030831,0,3858,3858,3675,3675,1929
20030901,0,3858,3858,3858,3858,37906
20030902,0,3858,3858,3858,3858,5326
20030903,0,3858,3858,3858,3858,1394
20030906,0,3858,3858,3858,3858,4313
20030907,0,3858,3858,3858,3858,1102
20030908,0,3845,3858,3700,3858,2055
20030909,0,3675,3858,3675,3858,2507
20030913,0,3666,3858,3666,3858,1408
20030915,0,3670,3858,3666,3858,17152
20030917,0,3784,3950,3784,3860,12750
20030921,0,3850,4050,3850,4015,27010
20030923,0,3997,4014,3997,4014,22
20030927,0,3992,4010,3992,4001,12858
20030928,0,4000,4000,3900,3995,13250
20030929,0,3993,3993,3796,3974,5014
20030930,0,3776,3776,3776,3776,30000
20031001,0,3588,3749,3588,3626,2658275
20031005,0,3575,3599,3575,3599,8336
20031007,0,3500,3556,3420,3556,5082
20031008,0,3500,3550,3500,3535,8474
20031011,0,3535,3535,3535,3535,870
20031013,0,3533,3568,3533,3536,4466
20031014,0,3565,3580,3565,3568,14727
20031015,0,3712,3712,3582,3582,1677
20031018,0,3712,3713,3596,3596,1814
20031019,0,3715,3715,3709,3709,15660
20031021,0,3894,3894,3769,3769,5272
20031022,0,3770,3950,3770,3839,6684
20031025,0,3839,3842,3839,3839,2134
20031026,0,3845,3850,3841,3841,4494
20031027,0,3850,3851,3841,3841,1336
20031029,0,3841,3841,3841,3841,1258
20031101,0,3838,3845,3838,3840,13578
20031102,0,4000,4000,3984,3984,14649
20031103,0,3983,3984,3983,3983,17041
20031104,0,3983,3983,3983,3983,2149
20031109,0,3979,4000,3979,3990,12040
20031110,0,3990,3990,3990,3990,4161
20031111,0,4000,4000,4000,4000,16676
20031112,0,3996,3999,3996,3999,1251
20031115,0,3990,3998,3990,3998,1610
20031117,0,3989,4000,3989,3997,10510
20031119,0,3987,3987,3899,3983,2499
20031122,0,3900,3977,3900,3977,1103
20031123,0,3899,3969,3899,3969,1537
20031124,0,3899,3966,3899,3966,544
20031125,0,3889,3891,3888,3891,1405584
20031129,0,4005,4005,3898,3965,15986
20031130,0,4011,4102,3969,3969,894
20031201,0,4167,4167,4167,4167,33018
20031202,0,4375,4375,4178,4372,33854
20031203,0,4376,4590,4375,4581,31726
20031206,0,4590,4810,4590,4801,32673
20031207,0,4813,5039,4813,4954,37970
20031208,0,5038,5201,5037,5105,22287
20031209,0,5200,5360,5147,5147,10420
20031210,0,5404,5404,5391,5391,30822
20031213,0,5650,5650,5650,5650,61033
20031214,0,5932,5932,5700,5928,129894
20031215,0,6216,6224,5928,6209,38449
20031216,0,6400,6500,6399,6487,86041
20031217,0,6377,6463,6163,6463,3100
20031221,0,6140,6140,6140,6140,34568
20031222,0,5833,6007,5833,6007,13960
20031223,0,5707,5707,5707,5707,50000
20031224,0,5422,5422,5422,5422,61934
20031227,0,5422,5693,5418,5424,30345
20031228,0,5690,5695,5690,5694,40430
20031230,0,5480,5687,5480,5687,1116
20031231,0,5687,5687,5687,5687,10000
20040103,0,5667,5971,5667,5722,13123
20040104,0,5722,5722,5722,5722,1000
20040105,0,5721,5721,5721,5721,173
20040106,0,5717,5717,5610,5713,4956
20040107,0,5610,5699,5600,5685,11386
20040110,0,5601,5661,5600,5661,9067
20040111,0,5570,5780,5570,5708,50010
20040113,0,5650,5707,5650,5707,562
20040114,0,5687,5992,5687,5948,51289
20040117,0,5992,6163,5948,5949,6640
20040119,0,5938,5948,5938,5948,410
20040120,0,5897,5940,5897,5940,5010
20040124,0,5884,5939,5884,5939,52
20040125,0,5882,5938,5882,5938,263
20040126,0,5868,5891,5850,5891,20210
20040127,0,5800,6000,5800,5930,180905
20040128,0,5901,6000,5900,5972,112121
20040131,0,5994,5999,5900,5981,350465
20040201,0,5905,5970,5900,5944,95058
20040204,0,5839,6050,5839,5916,51363
20040207,0,5916,6145,5916,6112,130816
20040208,0,5900,6104,5900,6104,1130
20040209,0,5801,6095,5801,6095,2651351
20040214,0,6095,6100,6000,6069,240261
20040215,0,5900,6056,5900,6056,2462
20040216,0,6000,6055,6000,6055,340
20040222,0,5753,5900,5753,5774,47338
20040224,0,5761,5771,5700,5771,2216
20040225,0,5743,5767,5743,5767,4503
20040228,0,5590,5690,5590,5636,150010
20040229,0,5688,5700,5650,5688,227018
20040303,0,5753,5753,5689,5689,773
20040307,0,5667,5676,5405,5676,3607
20040308,0,5393,5578,5393,5578,11159
20040309,0,5390,5501,5390,5501,13727
20040310,0,5499,5503,5499,5500,11851
20040313,0,5503,5503,5500,5500,4090
20040314,0,5500,5648,5500,5507,4563
20040315,0,5513,5520,5470,5476,863522
20040316,0,5475,5500,5475,5484,12520
20040317,0,5500,5500,5490,5494,22064
20040328,0,5496,5496,5300,5467,5215
20040330,0,5459,5462,5428,5462,11508
20040403,0,5400,5461,5400,5461,441
20040404,0,5250,5448,5240,5448,2510
20040405,0,5299,5400,5297,5400,13754
20040412,0,5399,5648,5399,5464,3327
20040413,0,5464,5737,5464,5573,21373
20040414,0,5736,5851,5589,5589,2840
20040417,0,5868,5868,5825,5825,36780
20040418,0,5560,5824,5560,5824,2600110
20040421,0,5785,5818,5736,5818,2983
20040424,0,5700,6108,5685,5781,1464127
20040425,0,5781,5781,5492,5746,111643
20040426,0,5699,5699,5459,5599,22398
20040427,0,5400,5556,5400,5556,9212
20040428,0,5279,5452,5279,5452,16123
20040501,0,5180,5192,5180,5192,41232
20040502,0,4933,5128,4933,5128,10633
20040503,0,5177,5177,4872,4907,2694955
20040504,0,4662,4905,4662,4671,2120708
20040505,0,4662,4720,4438,4599,2731356
20040508,0,4730,4828,4601,4765,70559
20040509,0,4780,4850,4625,4761,100728
20040510,0,4632,4708,4523,4708,3320190
20040511,0,4702,4850,4700,4826,50085
