Date,Time,Open,High,Low,Close,Volume,SMA20,SMA50,SMA100,SMA200,"EMA20,ffd=True","EMA50,ffd=True","EMA100,ffd=True","EMA200,ffd=True","ADX14,ffd=True","BBP13,method=EMA,ffd=True","RSI14,method=RMA,ffd=True",Stoch5-3-3_line,Stoch5-3-3_signal,Stoch14-3-3_line,Stoch14-3-3_signal,Stoch21-5-5_line,Stoch21-5-5_signal,"StochRSI13-8-5-5_line,rsi-method=[rma,True]","StochRSI13-8-5-5_signal,rsi-method=[rma,True]","StochRSI21-13-8-8_line,rsi-method=[sma,True]","StochRSI21-13-8-8_signal,rsi-method=[sma,True]","CCI14,method=SMA","CCI20,method=SMA","CCI30,method=SMA","MACD6-13-5_line,method=[EMA,True],SMA","MACD6-13-5_signal,method=[EMA,True],SMA","MACD12-26-9_line,method=[EMA,True],SMA","MACD12-26-9_signal,method=[EMA,True],SMA","MACD24-52-18_line,method=[EMA,True],SMA","MACD24-52-18_signal,method=[EMA,True],SMA"
20211009,0,60980,60980,58070,58070,3646793,59831.0,,,,57650.13616431586,,,,47.01941210852285,1531.1415425614105,57.308898584338515,75.50942463660668,64.26354289363941,47.0438786097691,35.20821433853967,36.069250873261375,40.88449349647727,41.06350617686054,22.53918891570658,7.844437979059858,,40.86195286195252,-32.547043501545645,10.149273623884019,117.56158519338351,17.904717502543644,2887.046860421091,3967.8424428787403,,
20211010,0,57010,58960,55910,57490,2235699,59569.0,,,,57634.88510104768,,,,43.90860235273223,-2286.164392090228,55.60422361246149,51.831831831831835,65.34475348758902,42.66475496057246,42.33077489196336,31.70771569482479,38.45400866341425,45.157870827904496,30.032937620402397,7.56735860743861,,-118.84672704344872,-86.85607305390393,-46.36451107951692,-97.37447182176402,9.316082066102535,2567.3981801120244,3657.221409378753,,
20211011,0,57490,59010,56800,57120,1595025,59300.0,,,,57585.84842475742,,,,41.03990080255193,-929.5694789344852,54.49069775594123,29.72972972972973,52.35699539938941,28.98086541550039,39.56316632861398,27.728267912560106,35.739522385786415,47.68545695406128,38.265014413730604,7.0436068117575275,5.484391443853496,-89.88841638498324,-77.31732096013576,-45.91614463623075,-277.8506507362763,14.8203427349712,2258.1874114355523,3359.061539593978,,
20211012,0,56880,57120,54550,54800,3515222,58975.0,,,,57320.52952716148,,,,38.75043958065318,-4049.6309819438466,47.999824638064744,17.962738425835386,33.17476666246565,17.962738425835386,29.869452933969413,18.935494244002832,31.19002901324899,33.08099910568431,40.908064598930835,6.313394335175331,5.861617443691594,-229.10541310541458,-169.91705895539116,-121.05807079134935,-708.433999021232,-128.12889941612957,1805.1227076413343,3050.39680608885,,
20211013,0,55830,55830,52510,54100,4502392,58475.0,51038.6,,,57013.81242933658,51038.6,,,37.32024728076413,-6305.397984523297,46.21118601692602,14.73062792099761,20.807698692187575,14.395036645843104,20.446213495726294,12.20043260395469,25.328232265720757,13.080999105684317,36.013766434039,6.31339433517533,6.238843443529693,-224.28225176711715,-224.0778701409764,-158.1097918498973,-1043.1407837254446,-401.8476640222667,1373.7458290829964,2729.9284615353877,,
20211016,0,54510,56170,54510,55950,6580459,58100.0,51737.6,,,56912.496959875956,51231.20392156863,,,35.83237890059993,-3573.198272448557,51.368880276985315,25.104386294755983,19.265917547196327,19.93968744189055,17.432487504523014,13.440476407964274,20.80247737266134,14.289216264495698,30.65890845156602,8.11882531793905,6.998376486031472,-112.20030935808278,-144.488769878135,-108.97574629557474,-941.2004158412747,-613.6000642291983,1167.6956156360611,2434.000453499588,,
20211017,0,56170,56170,53210,53210,5565135,57700.0,52272.6,,,56559.87820179253,51308.803767781625,,,34.880363629742654,-3754.1699478130613,44.55460407996897,27.488148215420946,22.441054143724845,21.34078212290503,18.558502070212896,11.725576393686598,16.8060495124337,11.507472784068009,23.928828842798723,5.352734933617329,7.06638693245282,-140.64889068595554,-182.77919431019137,-148.76493289066713,-1231.8001736329607,-840.4852045914377,774.3776921020035,2143.210381890031,4892.412788476882,
20211018,0,53750,53850,51510,52990,2231949,57409.5,52800.6,,,56219.889801621815,51374.73303179019,,,34.50605420643599,-6752.145669554055,44.04934297255742,30.024589789295675,27.539041433157536,20.377118366506647,20.55252931043408,12.329855127312845,13.726366955384247,9.850743362514404,16.36188612448935,1.9229887930925345,6.309592639156946,-152.47601191132705,-200.01143412514634,-187.67684753661766,-1390.8694060101916,-1063.0889556462207,439.84794925223105,1829.7121226365666,4577.73732708233,
20211019,0,53000,55460,53000,55460,3299963,57297.5,53351.6,,,56147.5193443245,51534.93957956312,,,33.36349798990218,-3481.839145332051,50.79591821544291,40.63821364755472,32.716983884090446,20.798031123962456,20.838643871124713,19.812932615208947,13.90185462962547,19.718424577073563,13.689371218767198,5.447246924459931,6.009943757331955,-71.79992492492468,-102.44715092111844,-125.59299686000539,-1078.6314092611428,-1137.1284376942028,369.7765216718981,1515.910974150577,4389.733353101852,
20211020,0,56970,57630,55770,56940,3833658,57145.5,53904.4,,,56222.99369248407,51746.902733305746,,,31.364580648937746,1181.2807325725153,54.34803395883914,66.62363345650394,45.76214563111811,36.381909547738694,25.852353012735932,28.279468528029394,17.117661814440414,33.863196442932626,17.84581068621686,10.985447332625206,6.43720484798028,7.427869858808997,-15.222124857272032,-56.52266994935495,-632.0109455673955,-1054.902470062593,428.72595565684605,1242.7642069545498,4272.5955456365555,
